scullyp,conservatives
MrJohnNicolson,ed_radio
marion53f,RichardlyleSnp
TasminaSheikh,theSNP
TasminaSheikh,NicolaSturgeon
DougChapmanSNP,theSNP
IanCLucas,LesothoComTeam
MrJohnNicolson,PeoplesNHSScot
TasminaSheikh,NicolaSturgeon
TasminaSheikh,osp_2015
MrJohnNicolson,batchelorshow
AlanBrownSNP,BoringOleFart
MrJohnNicolson,batchelorshow
TasminaSheikh,NicolaSturgeon
TasminaSheikh,theSNP
joannaccherry,lewisritchieSNP
joannaccherry,theSNP
GeorgeKerevan,LordAshcroft
AlanBrownSNP,theSNP
GwynneMP,Rosiecosy
GwynneMP,GwynneCllr
StephenGethins,SNP_NE_Fife
StephenGethins,theSNP
scullyp,SwitzerlandFash
scullyp,scullyp
scullyp,Team2015
StewartHosieMP,theSNP
ChrisLawSNP,JoeFitzSNP
TasminaSheikh,theSNP
TasminaSheikh,snpkinross
GradySNP,alisonthewliss
MartinJDocherty,ValeofLevenSNP
MartinJDocherty,clydebank_snp
MartinJDocherty,DumbartonSNP
MartinJDocherty,clydebank_snp
MartinJDocherty,DumbartonSNP
MartinJDocherty,ValeofLevenSNP
GradySNP,Carol4GlaNW
GradySNP,AnneMcLaughlin
GradySNP,Maryhill_SNP
MartinJDocherty,clydebank_snp
MartinJDocherty,DumbartonSNP
MartinJDocherty,ValeofLevenSNP
JimHood_MP,JimHood_MP
StewartHosieMP,i_dee51
StewartHosieMP,GlasgowMSP
StewartHosieMP,AlynSmithMEP
StewartHosieMP,RutherglenSNP
StewartHosieMP,MgtFerrierSNP
StewartHosieMP,theSNP
JackieDP,DanJukes17
StewartHosieMP,MgtFerrierSNP
StewartHosieMP,GlasgowMSP
StewartHosieMP,AlynSmithMEP
SadiqKhan,LondonLabour
ArklessRichard,AlexSalmond
ArklessRichard,EmmaSNPHarper
ArklessRichard,AlexSalmond
StewartHosieMP,MgtFerrierSNP
_PaulMonaghan,lostjimmy
AlanBrownSNP,AlanBrownSNP
AlanBrownSNP,theSNP
StephenGethins,the
StephenGethins,SNP_NE_Fife
DougChapmanSNP,calumrkerr
DougChapmanSNP,theSNP
DougChapmanSNP,EmmaSNPHarper
DougChapmanSNP,GeorgeKerevan
callum_mccaig,theSNP
joannaccherry,EdinSWSNP
joannaccherry,EdinburghWfi
joannaccherry,EdinSWSNP
joannaccherry,theSNP
MartinJDocherty,clydebank_snp
MartinJDocherty,DumbartonSNP
MartinJDocherty,ValeofLevenSNP
robertabwMP,annaturley
MartinJDocherty,ValeofLevenSNP
MartinJDocherty,DumbartonSNP
MartinJDocherty,MartinJDocherty
TasminaSheikh,theSNP
TasminaSheikh,theSNP
PGibsonSNP,theSNP
William_Bain,scottishlabour
AngelaRayner,angelaeagle
AngelaRayner,LizMcInnesMP
TasminaSheikh,theSNP
DavidWardMP,mshafiquk
StephenGethins,the
StephenGethins,SNP_NE_Fife
AngelaRayner,ClrLeighDrennan
StephenGethins,The_Proclaimers
StephenGethins,theSNP
StephenGethins,SNP_NE_Fife
AlanBrownSNP,theSNP
AlanBrownSNP,theSNP
TasminaSheikh,theSNP
TasminaSheikh,osp_2015
TasminaSheikh,osp_2015
nataliemcgarry,Amy__Macdonald
GradySNP,nataliemcgarry
TasminaSheikh,AlexSalmond
TasminaSheikh,theSNP
SadiqKhan,LondonLabour
SadiqKhan,coyleneil
SadiqKhan,LabourSJ
TasminaSheikh,AlexSalmond
TasminaSheikh,theSNP
InverclydeMP,InverclydeCLP
SadiqKhan,TootingLabour
RuthSmeeth,joanwalley1
SadiqKhan,TootingLabour
DanJarvisMP,DailyMirror
DanJarvisMP,VoiceOfGen1
GradySNP,Kenny4PartickW
GradySNP,otherchrises
MrJohnNicolson,FraserNelson
MrJohnNicolson,apmcfadyen
MrJohnNicolson,PeoplesNHSScot
GeorgeKerevan,EastLothianSNP
alisonthewliss,live_life_safe
PGibsonSNP,theSNP
StewartMcDonald,SusaninLangside
GeorgeKerevan,gregmoodie
GeorgeKerevan,jimmurphymp
IrrancaDaviesMP,Steveredwolf
IrrancaDaviesMP,IrrancaDaviesMP
IrrancaDaviesMP,birdman1066
craig4nwarks,50for15
_PaulMonaghan,AndraFaeNairn
_PaulMonaghan,dscott_aberdeen
_PaulMonaghan,susan_bell1212
Steven4Stirling,SNPDunblane
timloughton,lag36
timloughton,EdwardCrouchUK
GradySNP,GCC_SNP
GradySNP,SusaninLangside
GradySNP,Jen4Indy
GradySNP,alisonthewliss
GradySNP,GCC_SNP
MrJohnNicolson,batchelorshow
MrJohnNicolson,KeepStJoes
drewhendrySNP,lauramarsh70
drewhendrySNP,theSNP
AngelaRayner,Tameside_Labour
AngelaRayner,LabourNorthWest
AngelaRayner,Lynne_Stott
GwynneMP,GwynneCllr
GwynneMP,GwynnePup
TasminaSheikh,ScotNational
BarrySheerman,paulwaugh
BarrySheerman,Examiner
BarrySheerman,BBCLeeds
tobyperkinsmp,AngusMacNeilMP
tobyperkinsmp,NicolaSturgeon
DeidreBrock,snpenl
joannaccherry,billybragg
joannaccherry,LondonWelshCCLL
CLeslieMP,CLeslieMP
CLeslieMP,ChristineCarer
CLeslieMP,johnmcdonnellMP
PGibsonSNP,JohnSwinney
_PaulMonaghan,ferryoons
_PaulMonaghan,MagickmikeMike
SadiqKhan,barkinglabour
SadiqKhan,lbbdcouncil
SadiqKhan,margarethodge
kirstenoswald,eastwoodsnp222
willquince,mercurytheatre
nataliemcgarry,Shettleston_SNP
lisacameronsnp,HumzaYousaf
TasminaSheikh,theSNP
callum_mccaig,AbdnNorthKirsty
DanJarvisMP,ShefLabStudents
StewartHosieMP,PeteWishart
StewartHosieMP,theSNP
nataliemcgarry,theSNP
TasminaSheikh,theSNP
LiamFoxMP,GeorgeWParker
LiamFoxMP,BBCRadio4
LiamFoxMP,DefenceHQ
kirstenoswald,TommySheppard
