Date, Total tweets, Retweets, Mentions, Direct
31 Mar 2015,244,166,37
09 Apr 2015,316,204,48
25 Mar 2015,110,82,12
03 Apr 2015,190,132,31
03 May 2015,317,237,29
27 Feb 2015,49,25,8
15 Apr 2015,294,170,56
12 Apr 2015,230,159,32
13 Mar 2015,81,53,10
22 Mar 2015,113,71,16
06 May 2015,447,308,54
06 Apr 2015,177,115,25
24 Apr 2015,269,174,49
27 Apr 2015,287,180,60
01 Mar 2015,82,44,17
04 Mar 2015,59,37,8
10 Mar 2015,48,22,9
09 Mar 2015,68,29,20
06 Mar 2015,43,27,8
10 Apr 2015,278,192,36
13 Apr 2015,321,227,42
27 Mar 2015,178,110,27
12 Mar 2015,87,52,19
07 Apr 2015,317,211,46
02 May 2015,390,259,45
25 Apr 2015,276,177,40
02 Apr 2015,266,172,38
14 Apr 2015,325,214,47
16 Mar 2015,106,63,21
23 Mar 2015,82,44,18
11 Mar 2015,59,29,14
28 Mar 2015,187,103,36
08 May 2015,41,38,2
08 Apr 2015,251,160,47
05 Mar 2015,69,43,8
02 Mar 2015,89,46,14
26 Apr 2015,220,153,31
29 Apr 2015,321,221,60
08 Mar 2015,86,54,11
17 Mar 2015,96,52,23
29 Mar 2015,200,142,22
07 May 2015,269,210,16
01 May 2015,275,184,42
25 Feb 2015,14,6,4
04 Apr 2015,271,164,48
01 Apr 2015,239,149,38
30 Mar 2015,243,144,43
28 Feb 2015,137,70,35
24 Mar 2015,83,47,14
04 May 2015,360,245,41
16 Apr 2015,270,173,49
15 Mar 2015,90,39,31
18 Mar 2015,95,49,14
21 Mar 2015,151,79,25
26 Feb 2015,59,30,16
30 Apr 2015,332,226,44
28 Apr 2015,237,150,37
03 Mar 2015,46,21,7
07 Mar 2015,103,55,21
26 Mar 2015,137,85,24
20 Mar 2015,70,49,5
11 Apr 2015,298,180,53
19 Mar 2015,90,45,20
05 Apr 2015,131,83,18
05 May 2015,322,225,39
14 Mar 2015,170,98,34
23 Apr 2015,147,103,19
17 Apr 2015,49,31,7
